DATASET_SIMPLEBAR
#In simple bar charts, each ID is associated to a single numeric value which is displayed as a bar outside the tree.
#lines starting with a hash are comments and ignored during parsing

#=================================================================#
#                    MANDATORY SETTINGS                           #
#=================================================================#
#select the separator which is used to delimit the data below (TAB,SPACE or COMMA).This separator must be used throughout this file.
#SEPARATOR TAB
#SEPARATOR SPACE
SEPARATOR COMMA

#label is used in the legend table (can be changed later)
DATASET_LABEL,label 1
TE_00000656_INT,6
TE_00000657,52
TE_00000658_LTR,1
TE_00000660,10
TE_00000661,1
TE_00000662_LTR,30
TE_00000663_INT,3
TE_00000664,1
TE_00000665,4
TE_00000666,11
TE_00000667_INT,45
TE_00000668,3
TE_00000669,143
TE_00000671_LTR,11
TE_00000673,82
TE_00000674,12
TE_00000675,17
TE_00000676,10
TE_00000677,26
TE_00000679,39
TE_00000680_LTR,7
TE_00000681,29
TE_00000684,1
TE_00000685_INT,10
TE_00000686,9
TE_00000687,23
TE_00000688,1
TE_00000688_INT,9
TE_00000689_LTR,4
TE_00000690_INT,32
TE_00000691,1
TE_00000692_LTR,2
TE_00000693,1
TE_00000693_INT,23
TE_00000694,1
TE_00000696_LTR,10
TE_00000697,158
TE_00000698,2
TE_00000698_INT,14
TE_00000699,1
TE_00000700,17
TE_00000701,3
TE_00000701_INT,7
TE_00000702,92
TE_00000703,7
TE_00000704,1
TE_00000704_INT,15
TE_00000705,1
TE_00000705_INT,6
TE_00000706_LTR,8
TE_00000707_INT,9
TE_00000708,2
TE_00000708_INT,3
TE_00000709,2
TE_00000710,10
TE_00000711,3
TE_00000712,1
TE_00000712_INT,4
TE_00000713,37
TE_00000715,18
TE_00000716_INT,51
TE_00000717_LTR,4
TE_00000718_LTR,334
TE_00000719,1
TE_00000719_INT,3
TE_00000720,4
TE_00000721_INT,42
TE_00000722_LTR,9
TE_00000723,1
TE_00000723_LTR,197
TE_00000724,6
TE_00000725,21
TE_00000726_INT,4
TE_00000727,3
TE_00000728,17
TE_00000729_LTR,6
TE_00000730_LTR,3
TE_00000731,2
TE_00000732,4
TE_00000732_INT,123
TE_00000733,105
TE_00000734,37
TE_00000735_INT,42
TE_00000736,4
TE_00000736_INT,31
TE_00000737_LTR,17
TE_00000738,15
TE_00000740,1
TE_00000740_INT,4
TE_00000741,27
TE_00000742_LTR,2
TE_00000744,6
TE_00000745,7
TE_00000746_LTR,7
TE_00000747,9
TE_00000748,16
TE_00000749,1
TE_00000749_INT,8
TE_00000750_INT,5
TE_00000751,5
TE_00000751_INT,38
TE_00000753,84
TE_00000754,4
TE_00000755,184
TE_00000756,1
TE_00000756_INT,6
TE_00000757,8
TE_00000757_INT,5
TE_00000758_LTR,11
TE_00000759,1
TE_00000759_INT,17
TE_00000760,2
TE_00000760_INT,6
TE_00000761_LTR,4
TE_00000763,2
TE_00000764,13
TE_00000764_INT,14
TE_00000765,3
TE_00000766_LTR,4
TE_00000767,1
TE_00000767_INT,5
TE_00000768,24
TE_00000769,92
TE_00000770,2
TE_00000770_INT,7
TE_00000771_LTR,30
TE_00000772,1
TE_00000772_INT,3
TE_00000773,4
TE_00000775_LTR,9
TE_00000776,1
TE_00000776_INT,2
TE_00000777_LTR,43
TE_00000778,8
TE_00000779,1
TE_00000779_INT,6
TE_00000780,247
TE_00000781,1
TE_00000783,20
TE_00000784,1
TE_00000784_INT,3
TE_00000785,6
TE_00000786,1
TE_00000786_INT,50
TE_00000787,3
TE_00000788,76
TE_00000789,1
TE_00000790_LTR,53
TE_00000791,15
TE_00000792_LTR,3
TE_00000793,4
TE_00000794,3
TE_00000795,2
TE_00000795_INT,4
TE_00000796,2
TE_00000796_INT,10
TE_00000798_LTR,14
TE_00000799_LTR,41
TE_00000800,1
TE_00000800_INT,1
TE_00000801,20
TE_00000802,1
TE_00000802_INT,26
TE_00000803,27
TE_00000804,17
TE_00000805_LTR,2
TE_00000807,2
TE_00000808,49
TE_00000809_LTR,37
TE_00000810,5
TE_00000811,102
TE_00000814,17
TE_00000815_LTR,341
TE_00000816,1
TE_00000817_LTR,6
TE_00000818,5
TE_00000819,41
TE_00000820,5
TE_00000821,16
TE_00000823,3
TE_00000823_INT,13
TE_00000824_LTR,1
TE_00000825,2
TE_00000825_INT,8
TE_00000826,2
TE_00000826_INT,3
TE_00000827_LTR,4
TE_00000828,1
TE_00000828_INT,8
TE_00000829,1
TE_00000829_INT,3
TE_00000830,1
TE_00000830_INT,31
TE_00000831,8
TE_00000832,20
TE_00000833,8
TE_00000834,1
TE_00000834_INT,4
TE_00000836_LTR,1
TE_00000837,15
TE_00000838,68
TE_00000839,156
TE_00000841,47
TE_00000842_LTR,12
TE_00000843,1
TE_00000843_INT,4
TE_00000844,1
TE_00000844_INT,3
TE_00000845,15
TE_00000846,1
TE_00000846_INT,3
TE_00000847_LTR,3
TE_00000848,43
TE_00000849,32
TE_00000850_LTR,83
TE_00000851,3
TE_00000851_INT,51
TE_00000852_LTR,6
TE_00000853,18
TE_00000854,32
TE_00000855,4
TE_00000856,1
TE_00000856_INT,13
TE_00000857,14
TE_00000858,11
TE_00000859,36
TE_00000860_LTR,3
TE_00000861,1
TE_00000861_INT,20
TE_00000862,1
TE_00000862_INT,1
TE_00000863,3
TE_00000864,13
TE_00000865,4
TE_00000866,9
TE_00000867,113

